id,question,expected_answer,relevant_doc_ids
0,Was Abraham Lincoln the sixteenth President of the United States?,yes,[]
2,Did Lincoln sign the National Banking Act of 1863?,yes,[]
4,Did his mother die of pneumonia?,no,"[2988, 2894, 568]"
6,How many long was Lincoln's formal education?,18 months,[287]
8,When did Lincoln begin his political career?,1832,[289]
10,What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history",[361]
12,Who suggested Lincoln grow a beard?,11-year-old Grace Bedell,[382]
14,When did the Gettysburg address argue that America was born?,1776,[358]
16,Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,[]
18,Was Abraham Lincoln the first President of the United States?,No,"[278, 319, 334]"
20,Did Lincoln start his political career in 1832?,Yes,[]
22,Did Lincoln ever represent Alton & Sangamon Railroad?,Yes,[]
24,Which county was Lincoln born in?,Hardin County,[282]
26,When did Lincoln first serve as President?,"March 4, 1861",[278]
28,Who assassinated Lincoln?,John Wilkes Booth,"[364, 365]"
30,Did Lincoln win the election of 1860?,Yes,[]
32,Who was the general in charge at the Battle of Antietam?,General McClellan,[]
34,Why did Lincoln issue the Emancipation Proclamation?,To free slaves,[]
37,Do scholars rank lincoln among the top three presidents?,Yes,[]
39,Did lincoln have 18 months of schooling?,Yes,[]
41,Was Lincoln chosen as a presidential candidate in 1860?,Yes,[]
43,How old was Lincoln in 1816?,seven,[285]
45,When was the first photgraph of lincoln taken?,1846,"[299, 295]"
47,How long was Lincoln's legal Career?,23 years,[]
49,What trail did Lincoln use a Farmers' Almanac in? ,"he defended William ""Duff"" Armstrong",[]
51,Did Abraham Lincoln live in the Frontier?,Yes,[]
53,Did Lincoln's Wife's Family support slavery?,Yes,[]
80,Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro,[]
83,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Amedeo Avogadro,[]
86,When did he publish another memoria?,1821,[743]
89,When did he become a professor?,1820,[]
92,Is it true that he became a professor in 1820?,yes,[]
95,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes,[]
98,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes,[]
101,Is he most noted for his contributions to the theory of molarity and molecular weight?,yes,[]
115,Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes,[]
118,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,yes,[]
123,Did the scientific community not reserve great attention to his theory ?,yes,[]
131,Can the title of this famous 1811 paper be roughly translated into english?,yes,[]
136,What happened in 1833?,Avogadro had been recalled to Turin university,[]
139,Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius,[145]
140,What is named after him?,The Celsius crater on the Moon,[147]
141,When did he publish a collection?,1733,[]
142,Is it true that he published a collection in 1738?,No,"[563, 594, 256]"
143,Is it true that thermometer had 100 for the freezing point?,Yes,[]
144,Was Celsius born in Uppsala in Sweden?,Yes,[]
145,"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",Yes,[]
146,Is The Celsius crater on the Moon named after him?,Yes,[]
147,Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius,"[145, 140]"
148,The Celsius crater on the Moon is what?,named after him,"[147, 836, 1475]"
